n_agents,mechanism,mean_time_sec
10,PAC,0.001152160334944104
10,VCG,0.001081917677462722
10,CSRA,0.004274897325861578
50,PAC,0.002167440669533486
50,VCG,0.0024038196618979177
50,CSRA,0.013805904338369146
100,PAC,0.003546147335631152
100,VCG,0.004132267000386491
100,CSRA,0.02498908166307956
