mechanism,mean_regret,std_regret,mean_ir_violation,std_ir_violation,honesty_proxy,note
PAC,0.0,0.0,0.0,0.0,1.0,grid best single-agent dev
VCG,0.0,0.0,0.0,0.0,1.0,grid best single-agent dev
CSRA,60.74501113891601,9.536130166929468,0.007680757436901331,0.00023596405503428967,0.016195640450208458,grid best single-agent dev
MFG-Pricing,196.08477783203125,18.116674395977626,0.0,0.0,0.005073958582698186,grid best single-agent dev
RegretNet,1.2155287206172942,0.5152616846801299,1.0460679948329925,0.47920549865219875,0.45135952907953203,strategy_stability=std(regret) across seeds
DM-RegretNet,0.906452639773488,0.6730064335213755,0.6436332702636719,0.6266766340649627,0.5245344044417559,strategy_stability=std(regret) across seeds
MFG-RegretNet,0.5504956603050232,0.007218869411129375,0.0004335715435445309,6.013637440857645e-05,0.6449550460549329,strategy_stability=std(regret) across seeds
