Method,n,Mean,p50,p90,p95,p99
PAC,12000,0.0,0.0,0.0,0.0,0.0
VCG,12000,0.0,0.0,0.0,0.0,0.0
CSRA,12000,45.34182357788086,8.479132652282715,58.083194732666016,118.68084716796875,590.8115234375
MFG-Pricing,12000,166.06198120117188,16.323471069335938,219.40638732910156,461.578125,2462.66015625
RegretNet,12000,0.028380723670125008,0.0,0.009492072276771069,0.03874971345067024,0.3791046142578125
DM-RegretNet,12000,0.024700159206986427,0.0,0.011151273734867573,0.04984074458479881,0.4402640163898468
Ours,12000,0.5452695488929749,0.4949822425842285,1.0021038055419922,1.0061362981796265,1.0370172262191772
